file,key,shape,dtype
lemon_ec_model_inputs.npz,C_eeg,188x20x50x50,float32
lemon_ec_model_inputs.npz,C_fmri,188x50x50,float32
lemon_ec_model_inputs.npz,W_eeg,50x50,float32
lemon_ec_model_inputs.npz,W_fmri,50x50,float32
lemon_ec_model_inputs.npz,omega,20,float32
lemon_ec_model_inputs.npz,m_fmri,4,int32
lemon_ec_model_inputs.npz,w_m,20,float32
lemon_ec_model_inputs.npz,include_diag_eeg,scalar,int32
lemon_ec_model_inputs.npz,include_diag_fmri,scalar,int32
lemon_ec_model_inputs.npz,subject_ids,188,<U6
lemon_ec_model_inputs.npz,eeg_cond,1,<U2
lemon_ec_model_inputs.npz,freq_bands,20x2,float32
lemon_ec_model_inputs.npz,scale_mode,1,object
lemon_ec_model_inputs.npz,scale_eeg,scalar,float64
lemon_ec_model_inputs.npz,scale_fmri,scalar,float64
lemon_ec_model_inputs.npz,w_eeg_suggest,scalar,float64
lemon_ec_model_inputs.npz,w_fmri_suggest,scalar,float64
lemon_ec_model_inputs.npz,eeg_manifest,1,object
lemon_ec_model_inputs.npz,fmri_root,1,object
lemon_ec_model_inputs.npz,fmri_pattern,1,object
lemon_ec_model_inputs.npz,prefer_ses,1,object
lemon_ec_model_inputs.npz,fmri_recursive,scalar,int32
lemon_ec_model_inputs.npz,eeg_paths,188,object
lemon_ec_model_inputs.npz,fmri_paths,188,object
lemon_ec_model_inputs.npz,K,scalar,int32
lemon_ec_model_inputs.npz,K_eeg,scalar,int32
lemon_ec_model_inputs.npz,F,scalar,int32
lemon_eo_fitted_representation.npz,package4_setting,scalar,object
lemon_eo_fitted_representation.npz,artifact_label,scalar,object
lemon_eo_fitted_representation.npz,rank,scalar,int64
lemon_eo_fitted_representation.npz,Phi_hat,50x12,float32
lemon_eo_fitted_representation.npz,lambda_eeg_all,189x20x12,float32
lemon_eo_fitted_representation.npz,lambda_fmri_all,189x12,float32
lemon_eo_fitted_representation.npz,factor_energy,12,float64
lemon_eo_fitted_representation.npz,subject_ids,189,object
lemon_eo_fitted_representation.npz,fit_subject_ids,189,object
lemon_eo_fitted_representation.npz,eeg_scale,scalar,float64
lemon_eo_fitted_representation.npz,fmri_scale,scalar,float64
lemon_eo_fitted_representation.npz,objective,scalar,float64
lemon_eo_fitted_representation.npz,start_method,scalar,object
lemon_eo_fitted_representation.npz,start_seed,scalar,int64
lemon_eo_fitted_representation.npz,iterations,scalar,int64
lemon_eo_fitted_representation.npz,last_relative_change,scalar,float64
lemon_eo_fitted_representation.npz,converged,scalar,bool
lemon_eo_fitted_representation.npz,feature_fmri,189x12,float32
lemon_eo_fitted_representation.npz,feature_eeg_total,189x12,float32
lemon_eo_fitted_representation.npz,feature_theta,189x12,float32
lemon_eo_fitted_representation.npz,feature_alpha,189x12,float32
lemon_eo_fitted_representation.npz,feature_beta,189x12,float32
lemon_eo_fitted_representation.npz,feature_gamma,189x12,float32
lemon_eo_fitted_representation.npz,feature_centroid,189x12,float32
lemon_eo_model_inputs.npz,C_eeg,189x20x50x50,float32
lemon_eo_model_inputs.npz,C_fmri,189x50x50,float32
lemon_eo_model_inputs.npz,W_eeg,50x50,float32
lemon_eo_model_inputs.npz,W_fmri,50x50,float32
lemon_eo_model_inputs.npz,omega,20,float32
lemon_eo_model_inputs.npz,m_fmri,4,int32
lemon_eo_model_inputs.npz,w_m,20,float32
lemon_eo_model_inputs.npz,include_diag_eeg,scalar,int32
lemon_eo_model_inputs.npz,include_diag_fmri,scalar,int32
lemon_eo_model_inputs.npz,subject_ids,189,<U6
lemon_eo_model_inputs.npz,eeg_cond,1,<U2
lemon_eo_model_inputs.npz,freq_bands,20x2,float32
lemon_eo_model_inputs.npz,scale_mode,1,object
lemon_eo_model_inputs.npz,scale_eeg,scalar,float64
lemon_eo_model_inputs.npz,scale_fmri,scalar,float64
lemon_eo_model_inputs.npz,w_eeg_suggest,scalar,float64
lemon_eo_model_inputs.npz,w_fmri_suggest,scalar,float64
lemon_eo_model_inputs.npz,eeg_manifest,1,object
lemon_eo_model_inputs.npz,fmri_root,1,object
lemon_eo_model_inputs.npz,fmri_pattern,1,object
lemon_eo_model_inputs.npz,prefer_ses,1,object
lemon_eo_model_inputs.npz,fmri_recursive,scalar,int32
lemon_eo_model_inputs.npz,eeg_paths,189,object
lemon_eo_model_inputs.npz,fmri_paths,189,object
lemon_eo_model_inputs.npz,K,scalar,int32
lemon_eo_model_inputs.npz,K_eeg,scalar,int32
lemon_eo_model_inputs.npz,F,scalar,int32
